year,agency_code,career_cluster,num_concentrators
2017,510399,AAVC,9.0
2017,510399,AGNR,6.0
2017,510399,ARCH,1.0
2017,510399,BMA,18.0
2017,510399,FINA,19.0
2017,510399,HLTH,4.0
2017,510399,HOSP,24.0
2017,510399,INFO,7.0
2017,510399,LAW,4.0
2017,510399,MRKT,4.0
2017,520320,MANU,5.0
2017,520320,TRAN,9.0
2017,530306,AGNR,3.0
2017,530306,HOSP,3.0
2017,540315,HOSP,56.0
2017,540315,INFO,17.0
2017,540315,MANU,14.0
2017,540315,STEM,3.0
2017,540317,ARCH,2.0
2017,540317,HOSP,1.0
2017,540317,INFO,3.0
2017,540317,TRAN,2.0
2017,540318,HOSP,1.0
2017,540318,INFO,1.0
2017,540324,AAVC,21.0
2017,540324,AGNR,73.0
2017,540324,ARCH,19.0
2017,540324,BMA,23.0
2017,540324,HLTH,29.0
2017,540324,HOSP,49.0
2017,540324,INFO,9.0
2017,540324,MANU,21.0
2017,540324,MRKT,19.0
2017,540324,STEM,2.0
2017,540324,TRAN,29.0
2017,540336,AAVC,34.0
2017,540336,AGNR,121.0
2017,540336,ARCH,57.0
2017,540336,BMA,9.0
2017,540336,FINA,10.0
2017,540336,HLTH,25.0
2017,540315,HLTH,13.0
2017,540336,MANU,38.0
2017,540315,FINA,1.0
2017,540315,AGNR,63.0
2017,530335,ARCH,2.0
2017,530335,MANU,3.0
2017,530336,AAVC,63.0
2017,530336,AGNR,30.0
2017,530336,ARCH,54.0
2017,530336,BMA,66.0
2017,530336,FINA,22.0
2017,530336,HLTH,28.0
2017,530336,HOSP,75.0
2017,530336,HUMA,20.0
2017,530336,INFO,86.0
2017,530336,LAW,18.0
2017,530336,MANU,54.0
2017,530336,MRKT,34.0
2017,530336,TRAN,25.0
2017,530343,AAVC,3.0
2017,530343,AGNR,19.0
2017,530343,ARCH,27.0
2017,530343,BMA,4.0
2017,530343,HLTH,5.0
2017,530343,HOSP,80.0
2017,530343,HUMA,1.0
2017,530343,INFO,4.0
2017,530343,LAW,1.0
2017,530343,MANU,3.0
2017,530343,STEM,6.0
2017,540315,AAVC,21.0
2017,540315,ARCH,7.0
2017,590393,MANU,3.0
2017,600302,AAVC,6.0
2017,600302,ARCH,70.0
2017,600576,HUMA,3.0
2017,600579,AAVC,21.0
2017,600579,BMA,4.0
2017,600579,HOSP,20.0
2017,600579,HUMA,5.0
2017,600579,MANU,9.0
2017,600579,MRKT,4.0
2017,600579,STEM,2.0
2017,600592,AAVC,3.0
2017,600592,BMA,39.0
2017,600592,FINA,6.0
2017,600592,HLTH,6.0
2017,600576,HOSP,15.0
2017,600592,HOSP,29.0
2017,600592,MRKT,26.0
2017,600592,STEM,54.0
2017,600693,AAVC,4.0
2017,600693,INFO,3.0
2017,600694,ARCH,26.0
2017,600694,STEM,481.0
2017,600695,AAVC,10.0
2017,600695,BMA,34.0
2017,600695,INFO,24.0
2017,600695,MRKT,27.0
2017,600695,STEM,20.0
2017,600696,BMA,68.0
2017,600592,INFO,8.0
2017,600576,HLTH,4.0
2017,600576,ARCH,7.0
2017,600576,AAVC,1.0
2017,600496,LAW,2.0
2017,600496,STEM,82.0
2017,600498,BMA,2.0
2017,600498,HOSP,4.0
2017,600508,AGNR,1.0
2017,600508,ARCH,2.0
2017,600508,BMA,12.0
2017,600508,HLTH,1.0
2017,600508,HOSP,9.0
2017,600508,INFO,19.0
2017,600508,MRKT,6.0
2017,600508,STEM,11.0
2017,600508,TRAN,7.0
2017,600535,AAVC,26.0
2017,600535,ARCH,16.0
2017,600535,BMA,19.0
2017,600535,FINA,4.0
2017,600535,HLTH,15.0
2017,600535,HOSP,46.0
2017,600535,INFO,6.0
2017,600535,MANU,23.0
2017,600535,MRKT,20.0
2017,600535,STEM,8.0
2017,600535,TRAN,7.0
2017,600538,BMA,2.0
2017,600538,HOSP,2.0
2017,600567,STEM,2.0
2017,600696,INFO,5.0
2017,600696,MRKT,3.0
2017,600697,BMA,1.0
2017,600697,HLTH,201.0
2017,620340,AGNR,30.0
2017,620340,ARCH,9.0
2017,620340,BMA,1.0
2017,620340,HLTH,21.0
2017,620340,HOSP,14.0
2017,620340,INFO,6.0
2017,620340,LAW,5.0
2017,620340,MANU,8.0
2017,620340,STEM,14.0
2017,620340,TRAN,5.0
2017,630332,AGNR,57.0
2017,630332,BMA,5.0
2017,630332,HLTH,105.0
2017,630332,HOSP,12.0
2017,630332,INFO,2.0
2017,630332,STEM,81.0
2017,630332,TRAN,21.0
2017,630336,AAVC,12.0
2017,630336,AGNR,54.0
2017,630336,ARCH,28.0
2017,630336,BMA,21.0
2017,630336,HLTH,127.0
2017,630336,HOSP,97.0
2017,630336,HUMA,4.0
2017,630336,INFO,20.0
2017,630336,LAW,2.0
2017,630336,MANU,7.0
2017,620340,AAVC,3.0
2017,600496,INFO,91.0
2017,620316,TRAN,8.0
2017,620316,LAW,9.0
2017,600697,INFO,2.0
2017,60D000,LAW,1.0
2017,60G000,ARCH,1.0
2017,60K000,AAVC,2.0
2017,60K000,HOSP,1.0
2017,60K000,MRKT,2.0
2017,60K000,STEM,2.0
2017,60K000,TRAN,1.0
2017,60U000,AAVC,1.0
2017,610332,BMA,3.0
2017,610332,LAW,1.0
2017,610334,AGNR,65.0
2017,610334,ARCH,21.0
2017,610334,BMA,49.0
2017,610334,FINA,16.0
