Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Asheville City Schools,111360,Lucy S. Herring Elementary,Western,PK-05,Y,C,61,56.5,81.0,Met,0.42,C,61,53.7,92.5,Exceeded,5.55
Asheville City Schools,111369,Montford North Star Academy,Western,06-08,,C,65,61.4,77.5,Met,-0.50,C,60,54.8,80.0,Met,0.01
Burke County Schools,120312,Drexel Elementary,Northwest,PK-05,Y,C,57,50.7,83.4,Met,1.36,B,75,70.0,97.0,Exceeded,8.20
Burke County Schools,120315,East Burke Middle,Northwest,06-08,,C,60,54.8,80.5,Met,0.20,C,66,58.8,92.7,Exceeded,5.66
Burke County Schools,120316,Forest Hill Elementary,Northwest,PK-05,Y,D,42,34.1,75.4,Met,-0.92,D,46,37.3,80.3,Met,0.15
Burke County Schools,120320,George Hildebrand Elementary,Northwest,PK-05,Y,C,58,51.1,86.6,Exceeded,2.67,C,68,61.0,94.0,Exceeded,6.45
Burke County Schools,120324,Glen Alpine Elementary,Northwest,PK-05,Y,C,59,52.5,84.0,Met,1.61,C,67,63.1,82.7,Met,1.10
Burke County Schools,120334,Heritage Middle,Northwest,06-08,,C,65,61.1,81.4,Met,0.56,B,70,63.5,96.1,Exceeded,7.69
Burke County Schools,120338,Hildebran Elementary,Northwest,PK-05,Y,D,53,45.2,82.7,Met,1.08,D,52,48.2,66.1,Not Met,-2.77
Burke County Schools,120340,Hillcrest Elementary,Northwest,PK-05,Y,F,35,23.9,78.9,Met,-0.22,D,42,33.6,76.1,Met,-0.77
Burke County Schools,120344,Icard Elementary,Northwest,PK-05,Y,C,62,56.9,81.2,Met,0.49,B,71,68.0,81.5,Met,0.61
Burke County Schools,120350,Liberty Middle,Northwest,06-08,,C,66,60.3,86.6,Exceeded,2.67,D,54,52.8,60.2,Not Met,-3.96
Burke County Schools,120354,Mountain View Elementary,Northwest,PK-05,Y,D,40,30.5,77.4,Met,-0.52,D,52,45.3,76.6,Met,-0.67
Burke County Schools,120360,Mull Elementary,Northwest,PK-05,Y,C,62,56.5,83.5,Met,1.43,C,65,58.1,90.6,Exceeded,4.38
Burke County Schools,120364,Oak Hill Elementary,Northwest,PK-05,Y,D,51,44.9,76.9,Met,-0.62,C,57,51.9,78.8,Met,-0.24
Burke County Schools,120368,Ray Childers Elementary,Northwest,PK-05,Y,D,51,43.6,81.8,Met,0.74,C,56,51.7,75.1,Met,-0.98
Burke County Schools,120374,Salem Elementary,Northwest,PK-05,Y,C,61,55.0,83.1,Met,1.26,B,70,70.2,70.1,Met,-1.98
Burke County Schools,120376,Table Rock Middle,Northwest,06-08,,D,54,47.2,80.0,Met,0.01,D,53,47.2,76.3,Met,-0.73
Burke County Schools,120380,Valdese Elementary,Northwest,PK-05,Y,C,59,54.4,77.7,Met,-0.46,D,54,54.0,54.0,Not Met,-7.56
Burke County Schools,120386,W A Young Elementary,Northwest,PK-05,Y,C,56,52.4,71.7,Met,-1.65,C,58,57.3,59.8,Not Met,-4.12
Burke County Schools,120390,Walter R Johnson Middle,Northwest,06-08,,D,42,35.2,71.4,Met,-1.71,F,39,32.2,67.1,Not Met,-2.58
Cabarrus County Schools,130304,A T Allen Elementary,Southwest,0K-05,Y,D,49,39.8,85.0,Exceeded,2.02,D,54,46.2,83.6,Met,1.47
Cabarrus County Schools,130308,Bethel Elementary,Southwest,PK-05,,C,57,50.7,80.6,Met,0.24,C,62,57.9,80.2,Met,0.09
Cabarrus County Schools,130309,Beverly Hills Elementary,Southwest,0K-05,Y,C,58,51.9,81.4,Met,0.57,B,70,66.7,84.3,Met,1.72
Cabarrus County Schools,130311,Coltrane-Webb Elementary,Southwest,0K-05,Y,C,64,59.1,82.1,Met,0.84,B,73,69.4,85.4,Exceeded,2.16
Cabarrus County Schools,130312,Harrisburg Elementary,Southwest,0K-05,,B,71,68.1,81.9,Met,0.76,B,77,75.4,83.3,Met,1.35
Cabarrus County Schools,130313,Concord Middle,Southwest,06-08,Y,D,41,31.5,81.3,Met,0.53,D,40,30.9,77.3,Met,-0.53
Cabarrus County Schools,130315,J N Fries Magnet School,Southwest,06-08,,C,65,63.8,70.7,Met,-1.86,C,62,62.9,57.0,Not Met,-5.79
Cabarrus County Schools,130318,C C Griffin Middle,Southwest,06-08,,D,52,47.4,71.7,Met,-1.66,D,48,46.1,56.6,Not Met,-6.03
Cabarrus County Schools,130319,Cox Mill Elementary,Southwest,0K-05,,B,82,80.4,87.6,Exceeded,3.06,A,88,90.8,76.1,Met,-0.77
Cabarrus County Schools,130320,Harris Road Middle,Southwest,06-08,,B,79,80.1,76.4,Met,-0.72,B,83,81.9,85.0,Exceeded,2.00
Cabarrus County Schools,130321,Carl A Furr Elementary,Southwest,0K-05,Y,D,53,47.8,75.8,Met,-0.84,C,57,50.5,82.9,Met,1.19
Cabarrus County Schools,130322,Mount Pleasant Elementary,Southwest,0K-05,,C,65,60.1,86.1,Exceeded,2.45,B,76,73.1,88.2,Exceeded,3.29
Cabarrus County Schools,130323,Mount Pleasant Middle,Southwest,06-08,,C,57,54.6,67.0,Not Met,-2.59,C,59,55.1,76.3,Met,-0.73
Cabarrus County Schools,130325,Charles E Boger Elementary,Southwest,PK-05,,C,64,58.7,83.1,Met,1.27,B,71,68.1,81.4,Met,0.57
Cabarrus County Schools,130327,Northwest Cabarrus Middle,Southwest,06-08,,C,58,49.9,92.3,Exceeded,5.41,C,57,50.6,84.2,Met,1.70
Cabarrus County Schools,130328,Royal Oaks Elementary,Southwest,0K-07,Y,D,51,44.7,75.4,Met,-0.92,C,63,56.8,89.4,Exceeded,3.78
Cabarrus County Schools,130329,Rocky River Elementary,Southwest,PK-05,Y,D,45,35.7,80.9,Met,0.37,D,54,45.6,86.5,Exceeded,2.63
Cabarrus County Schools,130330,R Brown McAllister Elementary,Southwest,0K-05,,B,70,65.6,88.5,Exceeded,3.43,B,74,69.5,91.6,Exceeded,5.00
Cabarrus County Schools,130331,Pitts School Road Elementary,Southwest,0K-05,,C,60,54.1,83.0,Met,1.22,C,69,65.5,85.0,Exceeded,2.01
Cabarrus County Schools,130337,W R Odell Elementary,Southwest,03-05,,B,82,78.6,96.2,Exceeded,7.76,A,88,86.7,95.5,Exceeded,7.30
Cabarrus County Schools,130338,Weddington Hills Elementary,Southwest,0K-05,Y,C,63,55.4,91.4,Exceeded,4.84,C,68,63.6,83.5,Met,1.42
Cabarrus County Schools,130340,Winecoff Elementary,Southwest,PK-05,Y,D,41,30.8,79.4,Met,-0.12,F,39,27.6,84.1,Met,1.65
Cabarrus County Schools,130342,W M Irvin Elementary,Southwest,PK-05,Y,D,40,31.6,71.8,Met,-1.63,D,41,31.3,78.3,Met,-0.34
Cabarrus County Schools,130344,Wolf Meadow Elementary,Southwest,0K-05,Y,D,40,29.1,84.7,Met,1.90,D,49,39.5,86.2,Exceeded,2.49
Cabarrus County Schools,130345,Patriots Elementary,Southwest,0K-05,,C,63,59.0,78.7,Met,-0.25,C,63,62.3,63.9,Not Met,-3.21
Cabarrus County Schools,130346,Hickory Ridge Middle,Southwest,06-08,,B,76,73.6,83.5,Met,1.40,B,81,78.8,92.0,Exceeded,5.25
Cabarrus County Schools,130347,Hickory Ridge Elementary,Southwest,0K-05,,B,72,68.7,87.5,Exceeded,3.01,B,70,72.7,59.2,Not Met,-4.43
Cabarrus County Schools,130355,Harold E. Winkler Middle,Southwest,06-08,,D,51,48.0,62.5,Not Met,-3.50,C,58,51.9,83.4,Met,1.39
Cabarrus County Schools,130356,Cabarrus County Schools Virtual Academy,Southwest,0K-12,,C,65,62.2,74.6,Met,-1.07,D,46,43.8,56.0,Not Met,-6.35
Kannapolis City Schools,132308,Forest Park Elementary,Southwest,PK-05,Y,D,46,36.7,81.1,Met,0.46,D,43,34.9,74.0,Met,-1.20
Kannapolis City Schools,132312,Fred L Wilson Elementary,Southwest,0K-05,Y,D,44,34.7,82.6,Met,1.06,D,46,39.4,72.1,Met,-1.58
Kannapolis City Schools,132314,GW Carver Elementary,Southwest,0K-05,Y,F,31,23.7,61.7,Not Met,-3.65,F,37,25.7,80.6,Met,0.24
Kannapolis City Schools,132328,Jackson Park Elementary,Southwest,0K-05,Y,D,52,42.7,88.4,Exceeded,3.39,B,70,64.3,94.7,Exceeded,6.84
Kannapolis City Schools,132330,Kannapolis Middle,Southwest,06-08,,D,42,37.0,63.4,Not Met,-3.32,F,33,28.4,50.7,Not Met,-9.55
Kannapolis City Schools,132332,Shady Brook Elementary,Southwest,0K-05,Y,F,34,25.2,70.9,Met,-1.81,F,34,27.9,60.3,Not Met,-3.93
Kannapolis City Schools,132336,North Kannapolis Elementary,Southwest,0K-05,Y,D,44,32.8,86.8,Exceeded,2.72,C,55,46.3,88.9,Exceeded,3.57
Caldwell County Schools,140304,Baton Elementary,Northwest,PK-05,Y,C,56,50.0,82.3,Met,0.92,D,54,48.7,76.8,Met,-0.63
Caldwell County Schools,140308,Collettsville School,Northwest,PK-08,Y,C,57,50.9,82.1,Met,0.85,C,64,57.7,88.2,Exceeded,3.31
Caldwell County Schools,140312,Davenport A+ School,Northwest,PK-05,Y,D,49,42.1,78.3,Met,-0.34,D,43,34.1,76.6,Met,-0.67
Caldwell County Schools,140316,Dudley Shoals Elementary,Northwest,PK-05,Y,D,50,41.6,81.1,Met,0.44,F,39,34.8,57.8,Not Met,-5.32
Caldwell County Schools,140324,Gamewell Elementary,Northwest,PK-05,Y,D,44,34.5,81.0,Met,0.40,D,45,37.0,75.4,Met,-0.91
Caldwell County Schools,140332,Gamewell Middle,Northwest,06-08,Y,D,49,42.7,75.8,Met,-0.84,D,49,40.7,81.6,Met,0.67
Caldwell County Schools,140336,Granite Falls Middle,Northwest,06-08,Y,C,60,53.6,86.8,Exceeded,2.73,C,62,54.8,90.6,Exceeded,4.41
Caldwell County Schools,140340,Granite Falls Elementary,Northwest,PK-05,Y,C,65,60.8,80.9,Met,0.36,C,69,70.2,65.2,Not Met,-2.95
Caldwell County Schools,140344,Happy Valley Elementary,Northwest,PK-08,Y,D,52,46.0,74.4,Met,-1.11,D,49,40.7,80.7,Met,0.29
Caldwell County Schools,140352,Hudson Elementary,Northwest,PK-05,Y,D,52,44.2,82.9,Met,1.16,C,58,52.8,77.9,Met,-0.41
Caldwell County Schools,140356,Hudson Middle,Northwest,06-08,Y,C,60,55.3,77.5,Met,-0.49,D,52,48.5,66.2,Not Met,-2.75
Caldwell County Schools,140360,Kings Creek Elementary,Northwest,PK-08,Y,D,53,48.2,73.2,Met,-1.36,D,48,43.8,63.0,Not Met,-3.39
Caldwell County Schools,140368,William Lenoir Middle,Northwest,06-08,Y,D,53,49.8,64.6,Not Met,-3.07,D,43,38.9,58.5,Not Met,-4.85
Caldwell County Schools,140372,Lower Creek Elementary,Northwest,0K-05,Y,C,59,53.2,81.4,Met,0.59,C,61,58.4,72.5,Met,-1.49
Caldwell County Schools,140384,Sawmills Elementary,Northwest,PK-05,Y,D,43,35.1,73.5,Met,-1.29,D,42,36.4,66.3,Not Met,-2.74
Caldwell County Schools,140388,Valmead Elementary,Northwest,PK-05,Y,D,40,40.4,,,,F,35,34.8,,,
Caldwell County Schools,140392,West Lenoir Elementary,Northwest,03-05,Y,F,31,18.8,80.4,Met,0.17,F,38,31.3,66.3,Not Met,-2.74
Caldwell County Schools,140396,Whitnel Elementary,Northwest,PK-05,Y,D,42,33.0,80.2,Met,0.09,F,39,32.4,65.2,Not Met,-2.96
Camden County Schools,150308,Grandy Primary,Northeast,PK-03,Y,B,79,79.4,78.6,Met,-0.27,A,91,90.6,,,
Camden County Schools,150310,Camden Intermediate,Northeast,04-06,Y,B,73,70.9,83.4,Met,1.37,C,67,69.7,55.5,Not Met,-6.67
Camden County Schools,150312,Camden Middle,Northeast,07-08,,D,52,50.9,57.1,Not Met,-5.70,C,56,50.0,80.4,Met,0.18
Carteret County Public Schools,160304,Atlantic Elementary,Southeast,PK-05,Y,C,66,62.9,80.1,Met,0.04,B,77,77.1,,,
Carteret County Public Schools,160306,Bogue Sound Elementary,Southeast,PK-05,Y,C,64,61.1,77.8,Met,-0.44,B,70,69.7,69.4,Not Met,-2.11
Carteret County Public Schools,160308,Beaufort Elementary,Southeast,PK-05,Y,C,59,52.9,82.7,Met,1.11,C,63,64.6,58.6,Not Met,-4.80
Carteret County Public Schools,160310,Beaufort Middle,Southeast,05-08,,C,56,52.1,73.7,Met,-1.25,C,57,52.9,71.3,Met,-1.73
Carteret County Public Schools,160311,Broad Creek Middle,Southeast,06-08,,B,73,71.3,79.8,Met,-0.03,B,73,72.3,73.4,Met,-1.31
Carteret County Public Schools,160316,Harkers Island Elementary,Southeast,0K-05,Y,C,62,58.6,73.6,Met,-1.28,C,67,69.0,61.4,Not Met,-3.72
Carteret County Public Schools,160317,Morehead Elem at Camp Glenn,Southeast,04-05,Y,C,57,54.6,65.2,Not Met,-2.95,C,60,60.6,59.1,Not Met,-4.51
Carteret County Public Schools,160318,Morehead City Middle,Southeast,05-08,,C,68,64.6,82.4,Met,0.97,C,66,62.1,82.6,Met,1.07
Carteret County Public Schools,160322,Morehead City Primary,Southeast,PK-03,Y,C,65,60.2,86.0,Exceeded,2.40,C,62,61.9,,,
Carteret County Public Schools,160324,Newport Elementary,Southeast,0K-05,Y,D,53,45.4,81.1,Met,0.45,C,59,56.6,68.3,Not Met,-2.34
Carteret County Public Schools,160326,Newport Middle,Southeast,06-08,,C,59,53.1,84.3,Met,1.73,C,63,55.9,90.9,Exceeded,4.54
Carteret County Public Schools,160332,Down East Middle and Smyrna Elementary,Southeast,PK-08,Y,C,67,63.5,81.4,Met,0.56,C,63,59.4,79.6,Met,-0.07
Carteret County Public Schools,160352,White Oak Elementary,Southeast,PK-05,Y,B,70,65.9,86.4,Exceeded,2.57,B,76,77.4,71.5,Met,-1.70
Caswell County Schools,170334,North Elementary,Piedmont-Triad,PK-05,Y,D,51,43.1,81.8,Met,0.73,C,61,56.3,81.1,Met,0.47
Caswell County Schools,170338,N L Dillard Middle,Piedmont-Triad,06-08,Y,D,45,36.7,77.1,Met,-0.57,F,34,25.5,70.3,Met,-1.94
Caswell County Schools,170339,Oakwood Elementary,Piedmont-Triad,PK-05,Y,D,43,34.6,74.1,Met,-1.17,D,46,36.1,85.8,Exceeded,2.35
Caswell County Schools,170342,South Elementary,Piedmont-Triad,PK-05,Y,D,41,33.0,74.1,Met,-1.18,D,47,36.3,89.6,Exceeded,3.87
Caswell County Schools,170344,Stoney Creek Elementary,Piedmont-Triad,0K-05,Y,D,46,37.3,80.4,Met,0.17,F,36,22.7,88.3,Exceeded,3.33
Catawba County Schools,180302,Harry M Arndt Middle,Northwest,07-08,,C,55,50.7,74.1,Met,-1.18,C,61,56.2,80.4,Met,0.18
Catawba County Schools,180304,Balls Creek Elementary,Northwest,PK-06,Y,D,53,50.6,60.4,Not Met,-3.91,B,71,72.2,65.7,Not Met,-2.86
Catawba County Schools,180312,Banoak Elementary,Northwest,0K-06,Y,D,50,45.0,68.9,Not Met,-2.22,D,53,52.6,56.1,Not Met,-6.34
Catawba County Schools,180316,Blackburn Elementary,Northwest,0K-06,Y,D,50,47.8,58.1,Not Met,-5.11,C,61,59.1,67.3,Not Met,-2.54
Catawba County Schools,180324,Catawba Elementary School,Northwest,PK-06,Y,D,46,35.9,84.3,Met,1.73,C,60,53.4,84.0,Met,1.63
Catawba County Schools,180326,Charles H Tuttle Elementary,Northwest,0K-06,Y,D,50,45.0,67.5,Not Met,-2.49,C,63,58.8,81.5,Met,0.63
Catawba County Schools,180332,Claremont Elementary,Northwest,PK-06,Y,D,51,43.3,81.9,Met,0.76,C,60,54.0,82.2,Met,0.88
Catawba County Schools,180336,Clyde Campbell Elementary,Northwest,0K-06,Y,C,61,58.4,73.8,Met,-1.24,B,70,69.4,73.0,Met,-1.40
Catawba County Schools,180342,Jacobs Fork Middle,Northwest,07-08,,C,63,60.4,75.3,Met,-0.94,C,67,61.3,90.5,Exceeded,4.32
Catawba County Schools,180343,Lyle Creek Elementary,Northwest,PK-06,Y,D,41,35.1,66.4,Not Met,-2.72,D,51,49.2,59.3,Not Met,-4.42
Catawba County Schools,180344,Maiden Elementary,Northwest,PK-06,Y,D,49,44.1,68.1,Not Met,-2.37,C,57,55.9,63.1,Not Met,-3.38
Catawba County Schools,180346,Maiden Middle School,Northwest,07-08,,C,59,54.9,74.3,Met,-1.13,C,59,58.2,59.9,Not Met,-4.02
Catawba County Schools,180352,Mill Creek Middle,Northwest,07-08,,C,55,55.0,56.3,Not Met,-6.22,C,59,60.3,51.9,Not Met,-8.83
Catawba County Schools,180356,Mountain View Elementary,Northwest,0K-06,Y,C,62,62.8,57.8,Not Met,-5.28,B,74,73.6,77.4,Met,-0.52
Catawba County Schools,180360,Oxford Elementary,Northwest,PK-06,Y,D,45,38.8,69.6,Not Met,-2.07,D,51,44.2,77.5,Met,-0.49
Catawba County Schools,180364,River Bend Middle,Northwest,07-08,,D,52,45.8,75.2,Met,-0.96,D,51,45.7,70.6,Met,-1.88
Catawba County Schools,180368,Sherrills Ford Elementary,Northwest,0K-06,,C,68,67.2,71.4,Met,-1.72,B,82,80.2,87.6,Exceeded,3.04
Catawba County Schools,180372,Saint Stephens Elementary,Northwest,PK-06,Y,F,38,29.7,70.5,Met,-1.90,D,45,36.4,79.1,Met,-0.17
Catawba County Schools,180379,Snow Creek Elementary,Northwest,PK-06,Y,C,61,58.7,72.3,Met,-1.53,B,73,68.1,92.7,Exceeded,5.63
Catawba County Schools,180380,Startown Elementary,Northwest,PK-06,Y,D,54,50.0,70.9,Met,-1.81,C,57,56.7,56.1,Not Met,-6.31
Catawba County Schools,180388,Webb A Murray Elementary,Northwest,PK-06,Y,D,43,33.5,79.2,Met,-0.15,D,49,44.0,66.6,Not Met,-2.68
Hickory City Schools,181312,Northview Middle,Northwest,06-08,Y,C,61,55.8,81.9,Met,0.76,C,57,50.6,81.4,Met,0.59
Hickory City Schools,181316,Grandview Middle,Northwest,06-08,Y,C,56,47.0,90.9,Exceeded,4.54,D,48,42.1,73.2,Met,-1.36
Hickory City Schools,181326,W M Jenkins Elementary,Northwest,0K-05,Y,C,65,61.5,81.3,Met,0.52,B,73,71.5,78.3,Met,-0.34
Hickory City Schools,181332,Longview Elementary,Northwest,03-05,Y,D,47,36.9,85.5,Exceeded,2.22,C,62,56.7,83.9,Met,1.56
Hickory City Schools,181336,Oakwood Elementary,Northwest,PK-05,Y,B,72,67.8,91.0,Exceeded,4.62,B,72,68.4,87.4,Exceeded,2.99
Hickory City Schools,181344,Viewmont Elementary,Northwest,PK-05,Y,F,34,28.1,59.5,Not Met,-4.27,D,48,39.0,85.1,Exceeded,2.06
Newton Conover City Schools,182321,Newton-Conover Middle,Northwest,06-08,,D,49,45.2,66.4,Not Met,-2.71,C,60,51.6,91.1,Exceeded,4.66
Newton Conover City Schools,182322,Shuford Elementary,Northwest,PK-05,Y,C,67,63.0,82.5,Met,1.01,B,75,72.6,83.9,Met,1.56
Newton Conover City Schools,182324,South Newton Elementary,Northwest,PK-05,Y,D,47,40.9,71.1,Met,-1.78,D,44,41.6,53.8,Not Met,-7.71
Newton Conover City Schools,182328,North Newton Elementary,Northwest,PK-05,Y,D,53,48.4,72.2,Met,-1.55,C,65,60.5,82.7,Met,1.08
Chatham County Schools,190304,Bennett School,North Central,PK-08,Y,C,67,62.4,86.3,Exceeded,2.54,C,55,50.8,72.7,Met,-1.45
Chatham County Schools,190308,Bonlee School,North Central,0K-08,Y,D,51,42.9,81.2,Met,0.49,D,52,44.9,80.6,Met,0.26
Chatham County Schools,190312,Chatham Middle,North Central,06-08,Y,D,47,39.4,77.4,Met,-0.52,D,52,43.2,84.9,Met,1.99
Chatham County Schools,190328,Horton Middle,North Central,05-08,Y,C,60,54.1,82.9,Met,1.19,C,60,54.7,83.5,Met,1.42
Chatham County Schools,190332,J S Waters School,North Central,0K-08,Y,C,58,52.3,81.6,Met,0.67,C,68,63.6,84.0,Met,1.63
Chatham County Schools,190339,Margaret B. Pollard Middle,North Central,06-08,,B,74,70.3,89.1,Exceeded,3.67,B,72,69.6,80.1,Met,0.04
Chatham County Schools,190340,Moncure School,North Central,0K-08,Y,C,62,56.6,82.4,Met,0.96,C,61,54.9,85.5,Exceeded,2.23
Chatham County Schools,190341,North Chatham Elementary,North Central,PK-05,,C,67,63.4,81.6,Met,0.64,B,74,70.0,90.9,Exceeded,4.54
Chatham County Schools,190346,Perry W Harrison Elementary,North Central,PK-05,,B,76,72.3,91.0,Exceeded,4.60,B,80,75.5,96.0,Exceeded,7.62
Chatham County Schools,190348,Pittsboro Elementary,North Central,PK-04,,C,64,59.3,81.6,Met,0.66,C,61,56.5,80.4,Met,0.18
Chatham County Schools,190350,Siler City Elementary,North Central,PK-05,Y,D,47,40.3,75.4,Met,-0.92,C,60,54.8,82.1,Met,0.86
Chatham County Schools,190352,Silk Hope School,North Central,0K-08,Y,C,61,54.9,83.6,Met,1.45,C,64,60.3,81.2,Met,0.49
Chatham County Schools,190354,Chatham Grove Elementary,North Central,PK-05,,B,79,78.0,83.2,Met,1.31,B,82,81.6,83.8,Met,1.55
Chatham County Schools,190370,Virginia Cross Elementary,North Central,PK-05,Y,D,41,31.0,82.5,Met,1.03,C,59,50.7,90.3,Exceeded,4.23
Cherokee County Schools,200304,Andrews Elementary,Western,PK-05,Y,D,44,36.0,75.2,Met,-0.96,D,44,34.1,83.0,Met,1.21
Cherokee County Schools,200310,Andrews Middle,Western,06-08,,C,57,49.7,88.3,Exceeded,3.33,C,61,54.7,86.3,Exceeded,2.54
Cherokee County Schools,200312,Hiwassee Dam Elementary/Middle,Western,PK-08,Y,C,58,53.1,77.6,Met,-0.47,C,68,64.2,83.8,Met,1.54
Cherokee County Schools,200320,Martins Creek Elementary/Mid,Western,PK-08,Y,C,59,53.2,81.2,Met,0.48,D,47,41.5,70.7,Met,-1.86
Cherokee County Schools,200324,Murphy Elementary,Western,PK-05,Y,C,56,49.0,84.8,Met,1.92,C,60,57.9,70.4,Met,-1.91
Cherokee County Schools,200330,Murphy Middle,Western,06-08,,C,62,56.8,85.2,Exceeded,2.10,D,53,48.6,70.0,Met,-1.99
Cherokee County Schools,200332,Peachtree Elementary,Western,PK-05,Y,C,60,54.7,81.3,Met,0.55,B,72,69.8,81.0,Met,0.40
Cherokee County Schools,200336,Ranger Elementary/Middle,Western,PK-08,Y,D,54,47.3,81.5,Met,0.61,D,53,50.3,64.7,Not Met,-3.05
Edenton-Chowan Schools,210304,Chowan Middle,Northeast,06-08,,D,50,44.1,75.9,Met,-0.82,C,60,53.6,86.2,Exceeded,2.51
Edenton-Chowan Schools,210306,D F Walker Elementary,Northeast,03-05,Y,D,48,41.5,74.4,Met,-1.11,C,59,54.4,75.7,Met,-0.85
Clay County Schools,220308,Hayesville Elementary,Western,03-05,Y,C,58,54.2,72.5,Met,-1.49,C,62,64.1,56.0,Not Met,-6.40
Clay County Schools,220312,Hayesville Middle,Western,06-08,,C,58,52.9,77.1,Met,-0.57,C,62,56.1,84.8,Met,1.92
Cleveland County Schools,230304,Bethware Elementary,Southwest,PK-04,Y,D,49,44.6,67.6,Not Met,-2.48,C,64,62.4,70.0,Met,-2.00
Cleveland County Schools,230308,Boiling Springs Elementary,Southwest,PK-05,Y,C,66,60.8,86.3,Exceeded,2.54,B,74,72.8,77.6,Met,-0.48
Cleveland County Schools,230316,Burns Middle,Southwest,06-08,,D,53,49.2,68.6,Not Met,-2.27,C,59,55.3,74.8,Met,-1.03
Cleveland County Schools,230320,Casar Elementary,Southwest,PK-05,Y,C,57,50.0,83.4,Met,1.37,B,75,77.9,61.5,Not Met,-3.69
Cleveland County Schools,230323,Cleveland Innovation,Southwest,0K-12,,D,52,44.6,80.7,Met,0.28,F,38,30.9,66.6,Not Met,-2.67
Cleveland County Schools,230328,Crest Middle,Southwest,06-08,,C,56,48.0,86.3,Exceeded,2.52,C,60,55.9,75.8,Met,-0.83
Cleveland County Schools,230334,East Elementary,Southwest,PK-04,Y,D,51,44.3,79.2,Met,-0.15,C,61,62.0,59.0,Not Met,-4.56
Cleveland County Schools,230336,Shelby Intermediate,Southwest,05-06,Y,D,40,30.0,77.9,Met,-0.41,F,33,27.9,52.5,Not Met,-8.49
Cleveland County Schools,230340,Fallston Elementary,Southwest,PK-05,Y,D,54,49.1,73.8,Met,-1.23,C,57,58.3,52.3,Not Met,-8.58
Cleveland County Schools,230342,Graham Elementary,Southwest,PK-04,Y,F,39,30.4,74.9,Met,-1.02,F,31,22.1,68.9,Not Met,-2.21
Cleveland County Schools,230344,Grover Elementary,Southwest,PK-04,Y,C,58,50.4,89.6,Exceeded,3.86,C,65,60.9,79.5,Met,-0.09
Cleveland County Schools,230346,James Love Elementary,Southwest,PK-04,Y,C,56,47.7,86.7,Exceeded,2.70,C,65,64.0,67.8,Not Met,-2.44
Cleveland County Schools,230348,Jefferson Elementary,Southwest,PK-04,Y,C,60,56.1,74.7,Met,-1.05,B,71,69.7,75.6,Met,-0.87
Cleveland County Schools,230351,Kings Mountain Intermediate,Southwest,05-06,Y,D,54,48.6,76.7,Met,-0.66,B,71,66.4,91.5,Exceeded,4.94
Cleveland County Schools,230352,Kings Mountain Middle,Southwest,07-08,,D,52,50.6,58.3,Not Met,-5.02,C,60,56.1,74.1,Met,-1.18
Cleveland County Schools,230355,Marion Elementary,Southwest,PK-04,Y,C,55,50.0,75.9,Met,-0.81,C,59,54.3,80.1,Met,0.05
Cleveland County Schools,230357,North Elementary,Southwest,PK-04,Y,C,58,51.9,83.8,Met,1.52,C,59,51.9,85.5,Exceeded,2.20
Cleveland County Schools,230362,Shelby Middle,Southwest,07-08,,D,46,38.7,75.9,Met,-0.81,D,46,38.4,74.9,Met,-1.01
Cleveland County Schools,230364,Springmore Elementary,Southwest,PK-05,Y,C,62,56.8,82.3,Met,0.94,B,78,74.0,92.1,Exceeded,5.27
Cleveland County Schools,230368,Township Three Elementary,Southwest,PK-05,Y,D,46,36.7,84.8,Met,1.93,D,54,50.2,71.2,Met,-1.76
Cleveland County Schools,230370,Union Elementary,Southwest,PK-05,Y,D,53,45.3,84.3,Met,1.73,C,64,59.9,80.7,Met,0.31
Cleveland County Schools,230376,Washington Elementary,Southwest,PK-05,Y,D,45,38.4,72.7,Met,-1.46,C,57,56.8,59.5,Not Met,-4.25
Cleveland County Schools,230380,West Elementary,Southwest,PK-04,Y,C,60,53.3,85.8,Exceeded,2.35,C,69,63.3,90.8,Exceeded,4.50
Columbus County Schools,240308,Acme Delco Elementary,Sandhills,PK-06,Y,D,48,38.9,82.6,Met,1.05,D,50,46.5,62.1,Not Met,-3.57
