year,agency_code,career_cluster
2019,190501,HUMA
2019,190501,MRKT
2019,190501,TRAN
2019,360360,AAVC
2019,360360,AGNR
2019,360360,ARCH
2019,360360,BMA
2019,360360,EDUC
2019,360360,FINA
2019,360360,HLTH
2019,360360,HOSP
2019,360360,HUMA
2019,360360,INFO
2019,360360,LAW
2019,360360,MANU
2019,360360,MRKT
2019,360360,STEM
2019,360360,TRAN
2019,850304,AAVC
2019,850304,EDUC
2019,850304,HUMA
2019,850304,INFO
2019,850304,STEM
2019,740332,INFO
2019,800320,INFO
2019,800320,STEM
2019,310330,CD
2019,310330,INFO
2019,310330,STEM
2019,070325,CD
2019,070325,INFO
2019,210304,BMA
2019,210304,FINA
2019,210304,HOSP
